ID,Author Name,Author Disambiguation,Perseus Catalog ID,Wikipedia Entry,Trismegistos ID
480,Kallimachos,"Kallimachos (Greek, poetry hymn, epigram, paradoxography, BC 310 - 240 about)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.307,https://en.wikipedia.org/wiki/Callimachus,https://www.trismegistos.org/author/480
386,Hieronymus,"Hieronymus (Latin, theology, history, biography, epistolography, poetry, AD 347 - 420)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.785,https://en.wikipedia.org/wiki/Jerome,https://www.trismegistos.org/author/386
675,Philon of Alexandria,"Philon of Alexandria (Greek, philosophy Platonist middle, BC 15 - AD 50)",,https://en.wikipedia.org/wiki/Philo,https://www.trismegistos.org/author/675
326,Galenos,"Galenos (Greek, medicine, AD 129 - 216 about)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.649,https://en.wikipedia.org/wiki/Galenus,https://www.trismegistos.org/author/326
97,Apuleius,"Apuleius (Latin, philosophy Platonic, novel, poetry, AD 125 - 180)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.160,https://en.wikipedia.org/wiki/Apuleius,https://www.trismegistos.org/author/97
648,Petronius,"Petronius (Latin, poetry, AD 27 - 66 about)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.1063,https://en.wikipedia.org/wiki/Petronius,https://www.trismegistos.org/author/648
318,Flavius Iosephos,"Flavius Iosephos (Greek, history, AD 37 - 100)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.793,https://en.wikipedia.org/wiki/Flavius_Josephus,https://www.trismegistos.org/author/318
168,Caesar,"Caesar (Latin, history, poetry, epistolography, rhetoric, grammar, BC 100 - 44)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.296,https://en.wikipedia.org/wiki/Caesar,https://www.trismegistos.org/author/168
571,Menandros,"Menandros (Greek, poetry comedy, epigram, BC 342 - 290 about)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.919,https://en.wikipedia.org/wiki/Menander,https://www.trismegistos.org/author/571
275,Epikouros,"Epikouros (Greek, philosophy Epicurean, BC 341 - 270)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.561,https://en.wikipedia.org/wiki/Epicurus,https://www.trismegistos.org/author/275
907,Tertullianus,"Tertullianus (Latin, theology, AD 155 - 240)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.1365,https://en.wikipedia.org/wiki/Tertullian,https://www.trismegistos.org/author/907
559,Martialis,"Martialis (Latin, poetry, AD 38 - 104 about)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.897,https://en.wikipedia.org/wiki/Martialis,https://www.trismegistos.org/author/559
525,Lucanus,"Lucanus (Latin, poetry epic, AD 39 - 65)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.847,https://en.wikipedia.org/wiki/Marcus_Annaeus_Lucanus,https://www.trismegistos.org/author/525
3623,Sokrates,"Sokrates (Greek, philosophy Socratic, epistolography, poetry elegy, BC 470 - 399)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.1299,https://en.wikipedia.org/wiki/Socrates,https://www.trismegistos.org/author/3623
