q_identifier,mediate_label,viaf_id,mediate_nb_items,mediate_nb_collections,trismegistos_label,trismegistos_id,english_label,french_label,latin_label,english_aliases,french_aliases,latin_aliases,writing_languages
Q180081,Cato (the Elder),99852885,75.0,61.0,Marcus Porcius Cato,4908.0,Cato the Elder,Caton l'Ancien,Marcus Porcius Cato maior,"[""Marcus Porcius Catus"", ""Marcus Porcius Cato Maior"", ""Marcus Porcius Cato Sapiens"", ""Cato Censor"", ""Cato Sapiens"", ""Marcus Porcius Cato"", ""Marcus Porcius Cato Major"", ""Cato Major"", ""Marcus Portius Cato""]","[""Caton le Censeur"", ""Marcus Porcius Cato Maior""]","[""Marcus Porcius Cato Censor"", ""Marcus Porcius Catus"", ""Cato Maior"", ""Cato senior"", ""M. Porcius Cato maior"", ""Cato Censor"", ""Marcus Porcius Cato Censorius"", ""Marcus Cato"", ""Marcus Porcius Cato""]","[""Latin""]"
Q180671,Aratus Solaeus,100908520,34.0,25.0,Aratos,99.0,Aratus,Aratos de Soles,Aratus Solensis,"[""Aratus of Soli""]","[""Aratus de Soli"", ""Aratus"", ""Aratos""]","[""Aratus""]","[""Ancient Greek""]"
Q182123,Iranaeus of Lyon (saint),70051641,6.0,6.0,Eirenaios,438.0,Irenaeus,Irénée de Lyon,Irenaeus,"[""Iren\u00e6us"", ""Irenaeus of Lyon""]","[""Iranaeus"", ""Irenee de Lyon"", ""Saint Ir\u00e9n\u00e9e de Lyon"", ""Irenaeus""]","[""Irenaeus Lugdunensis"", ""Sanctus Irenaeus"", ""Irenaeus Theologus""]","[""Ancient Greek""]"
Q183144,Epictetus,100218891,436.0,240.0,Epiktetos,276.0,Epictetus,Épictète,Epictetus,"[""Epiktetos"", ""Epictetus of Hierapolis""]","[""Epictete"", ""Epict\u00e8te""]","[""Epictetus Hierapolitanus"", ""Epictetus Philosophus""]","[""Ancient Greek""]"
Q183420,Nonius Marcellus,59182520,25.0,24.0,,,Nonius Marcellus,Nonius Marcellus,Nonius Marcellus,"[""Marcellus Nonius""]",[],"[""Nonius Marcellus Grammaticus""]","[""Latin""]"
Q185117,Justin Martyr (saint),88878069,155.0,118.0,Iustinus martyr,467.0,Justin Martyr,Justin de Naplouse,Iustinus Martyr,"[""Justin the Philosopher"", ""Saint Justin"", ""Justin"", ""Iustinus Martyr"", ""St. Justin""]","[""Justin le Martyr"", ""Justin martyr""]",[],"[""Ancient Greek""]"
Q185223,Cassius Dio,95167625,162.0,118.0,Cassius Dion,172.0,Cassius Dio,Dion Cassius,Cassius Dio,"[""Dion Cassius"", ""Dio Cassius""]","[""Cassius Dion"", ""Cassius Dio"", ""Dio Cassius""]","[""Cassius Dio Cocceianus"", ""Dio Cassius Historicus"", ""Cassius Dio Historicus"", ""Dio Cassius"", ""Lucius Cassius Dio Cocceianus""]","[""Ancient Greek""]"
Q185732,"Avianus, Flavius",41836105,28.0,26.0,,,Avianus,Avianus,Avianus,"[""Flavius Avianus""]","[""Flavius Avianus""]","[""Avianus Poeta"", ""Flavius Avianus""]","[""Latin""]"
Q185770,,,,,Poseidonios of Apameia,710.0,Posidonius,Posidonios,Posidonius Apameus,"[""Poseidonios"", ""Posidonius of Apamea""]","[""Posidonios de Rhodes"", ""Poseidonios d'Apam\u00e9e"", ""Poseidonios"", ""Posidonius d'Apam\u00e9e"", ""Poseid\u00f4nios"", ""Posidonios d'Apam\u00e9e"", ""Posidonius"", ""Posidonius de Rhodes""]","[""Posidonius Philosophus"", ""Posidonius"", ""Posidonius Rhodius""]","[""Ancient Greek""]"
Q186153,Procopius of Caesarea,100172302,82.0,67.0,Prokopios of Kaisareia,3510.0,Procopius,Procope de Césarée,Procopius,"[""Procopius of Caesarea""]","[""Procope de Cesaree""]","[""Procopius Caesarensis"", ""Procopius Historicus""]","[""Ancient Greek""]"
Q188646,Lucan (Marcus Annaeus Lucanus),100902938,501.0,278.0,Lucanus,525.0,Lucan,Lucain,Lucanus,"[""Marcus Annaeus Lucanus"", ""Lucanus""]","[""Marcus Annaeus Lucanus""]","[""Marcus Annaeus Lucanus"", ""M. Annaeus Lucanus"", ""Lucanus Poeta""]","[""Latin""]"
Q188883,Clement of Alexandria,100185827,109.0,92.0,Clemens of Alexandria,196.0,Clement of Alexandria,Clément d'Alexandrie,Clemens Alexandrinus,"[""Saint Clement"", ""Titus Flavius Clemens""]","[""Cl\u00e9ment d\u2019Alexandrie"", ""Clement d'Alexandrie""]","[""Clemens Alexandrinus Theologus"", ""Titus Flavius Clemens""]","[""Ancient Greek""]"
Q189597,Philo Judaeus,307158263,106.0,91.0,Philon of Alexandria,675.0,Philo of Alexandria,Philon d’Alexandrie,Philo Alexandrinus,"[""Philo Alexandrinus"", ""Philio Jud\u00e6us"", ""Philo Judeaus"", ""Philio Alexandrinus"", ""Philio of Alexandria"", ""Philo the Jew"", ""Philo Jud\u00e6us"", ""Philo""]","[""Philo Judaeus"", ""Philon d'Alexandrie""]","[""Philo Iudaeus"", ""Philo Judaeus"", ""Philo Philosophus""]","[""Ancient Greek""]"
Q190240,Cyprian of Carthage (saint),100179090,147.0,103.0,Cyprianus,210.0,Cyprian,Cyprien de Carthage,Cyprianus Carthaginiensis,"[""Saint Cyprian"", ""St. Cyprian"", ""Cyprianus Carthaginiensis"", ""Cyprian of Carthage""]","[""Saint Cyprien de Carthage""]","[""Cyprianus Carthaginensis"", ""Thascius Caecilius Cyprianus"", ""Sanctus Cyprianus""]","[""Latin""]"
Q190368,Appian of Alexandria,100191271,196.0,146.0,Appianos,95.0,Appian,Appien,Appianus Alexandrinus,"[""Appianus Alexandrinus"", ""Appianus of Alexandria"", ""Alexandreos"", ""Appian of Alexandria"", ""Appian\u00f2s Alexandre\u00fas""]","[""Appian"", ""Appien d'Alexandrie""]","[""Appianus""]","[""Ancient Greek""]"
Q191734,Gregory of Nyssa (saint),103646160,47.0,36.0,Gregorios of Nysa,342.0,Gregory of Nyssa,Grégoire de Nysse,Gregorius Nyssenus,"[""Gregorius"", ""St. Gregory of Nyssa"", ""Gregorius Nyssenus""]","[""Gr\u00e9goire de Nic\u00e9e"", ""Saint Gr\u00e9goire de Nysse"", ""Gregoire de Nysse"", ""saint Gr\u00e9goire de Nysse""]",[],"[""Ancient Greek""]"
Q192358,,,,,Anonymi of the Corpus Hermeticum,205.0,Hermes Trismegistus,Hermès Trismégiste,Hermes Trismegistus,"[""Trismegistus""]","[""Hermes Trismegistus"", ""Herm\u00e8s Trismegiste"", ""Hermes Trismegiste""]","[""Mercurius ter Maximus""]","[""Ancient Greek""]"
Q192365,Aurelius Cassiodorus,95230707,55.0,48.0,Cassiodorus,171.0,Cassiodorus,Cassiodore,Cassiodorus,"[""Flavius Magnus Aurelius Cassiodorus Senator""]","[""Cassiodorus""]","[""Flavius Magnus Aurelius Cassiodorus"", ""Cassiodorus Senator"", ""Flavius Magnus Aurelius Cassiodorus Senator""]","[""Latin""]"
Q192371,Polycarp (saint),2475604,18.0,18.0,,,Polycarp,Polycarpe de Smyrne,Polycarpus Smyrnaeus,"[""Polycarp of Smyrna"", ""Bishop Polycarp"", ""Bishop Polycarp of Smyrna""]","[""saint Polycarpe de Smyrne""]","[""Polycarpus Smyrnensis""]","[""Ancient Greek""]"
Q192417,,,,,Kallimachos,480.0,Callimachus,Callimaque de Cyrène,Callimachus,"[""Kallimachos of Kyrene"", ""Battiades"", ""Callimachus of Cyrene""]","[""Callimaque"", ""Callimaque de Cyrene""]","[""Callimachus Philosophus"", ""Callimachus Cyrenaicus"", ""Callimachus Poeta"", ""Callimachus Cyrenaeus"", ""Callimachus Cyrenensis""]","[""Ancient Greek""]"
Q192638,Apollonius of Rhodes,100175273,97.0,70.0,Apollonios of Rhodos,92.0,Apollonius of Rhodes,Apollonios de Rhodes,Apollonius Rhodius,"[""Apollonius Rhodius""]","[""Apollonius de Rhodes""]","[""Apollonius Rhodius Epicus""]","[""Ancient Greek""]"
