english_label,french_label,latin_label,q_identifier,mediate_label,viaf_id,mediate_nb_items,mediate_nb_collections,english_aliases,french_aliases,latin_aliases,writing_languages
Julius Obsequens,Julius Obsequens,Iulius Obsequens,Q682860,Julius Obsequens,100202247,37,35,"[""Iulius Obsequens""]",[],"[""Obsequens Mythographus"", ""Julius Obsequens""]","[""Latin""]"
Rutilius Claudius Namatianus,Rutilius Namatianus,Claudius Rutilius Namatianus,Q705919,"Rutilius Namatianus, Claudius",102333340,20,19,"[""Claudius Rutilius Numatianus""]","[""Rutilius Claudius Namatianus"", ""Claudius Rutilius Numatianus""]","[""Rutilius Claudius Namatianus"", ""Claudius Rutilius Numatianus Poeta"", ""Rutilius Namatianus""]","[""Latin""]"
Petronius,Pétrone,Publius Petronius Niger,Q47180,"Petronius Arbiter, Gaius",95155909,389,225,"[""Petronius Arbiter"", ""Publius Petronius Niger"", ""Titus Petronius Niger"", ""Gaius Petronius Arbiter""]","[""Petronius Arbiter"", ""Petrone""]","[""T. Petronius Arbiter"", ""Petronius"", ""Petronius Arbiter"", ""C. Petronius"", ""T. Petronius"", ""Petronius Niger"", ""Titus Petronius Arbiter"", ""Gaius Petronius""]","[""Latin""]"
Censorinus,Censorin,Censorinus,Q707449,Censorinus,195718548,49,45,"[""Censorinus Grammaticus"", ""Censorinus the Grammarian""]","[""Censorinus""]","[""Censorinus Grammaticus"", ""Censorinum"", ""Censorini"", ""Censorine"", ""Censorino""]","[""Latin""]"
Marcus Valerius Probus,Valérius Probus,Marcus Valerius Probus,Q722683,Valerius Probus,90633449,12,10,"[""M. Valerius Probus"", ""Marcus Valerius Probus Berytius"", ""Marcus V. Probus"", ""M. Valerius Probus Berytius"", ""Valerius Probus"", ""Probus of Beirut"", ""Probus Minor"", ""Probus""]","[""Marcus Valerius Probus""]","[""Probus Grammaticus""]","[""Latin""]"
Sextus Pomponius,Sextus Pomponius,Sextus Pomponius,Q944631,Sextus Pomponius,67261809,13,10,[],[],[],"[""Latin""]"
Albinovanus Pedo,Albinovanus Pedo,Albinovanus Pedo,Q1526652,Albinovanus Pedo,8826150033013511180002,23,23,"[""Gaius Pedo Albinovanus""]","[""Gaius Pedo Albinovanus"", ""Caius Pedo Albinovanus""]","[""Gaius Pedo Albinovanus""]","[""Latin""]"
Caelius Aurelianus,Caelius Aurelianus,Caelius Aurelianus,Q2514828,Caelius Aurelianus,102322199,18,16,[],"[""C\u00e9lius Aur\u00e9lien""]",[],"[""Latin""]"
Marius Mercator,Marius Mercator,Marius Mercator,Q2574348,"Mercator, Marius",60905671,8,8,[],[],"[""Marius Mercator Scriptor ecclesiasticus"", ""Marius Mercator Afer""]","[""Latin""]"
Publius Rutilius Lupus,Publius Rutilius Lupus,Publius Rutilius Lupus,Q13410930,"Rutilius Lupus, Publius (rhetorician)",100211635,10,10,"[""Rutilius Lupus""]",[],"[""Rutilius Lupus"", ""Rutilius Lupus Rhetor""]","[""Latin""]"
Hilary of Poitiers,Hilaire de Poitiers,Hilarius Pictaviensis,Q44344,Hilarius Pictaviensis,89595978,42,39,"[""Hammer of the Arians"", ""Athanasius of the West"", ""St. Hilary"", ""Bishop of Poitiers"", ""Saint Hilary of Poitiers"", ""Saint Hilary"", ""Hilarius Pictaviensis""]","[""Saint Hilaire de Poitiers"", ""Saint-Hilaire de Poitiers""]","[""Sanctus Hilarius""]","[""Latin""]"
Ennius,Ennius,Quintus Ennius,Q47130,"Ennius, Quintus",84976347,39,35,"[""Quintus Ennius"", ""Ennio"", ""Quinto Ennio""]","[""Quintus Ennius"", ""Ennio"", ""Quinto Ennio""]","[""Q. Ennius"", ""Ennius"", ""Ennius Poeta""]","[""Latin""]"
Lucretius,Lucrèce,Lucretius,Q47154,"Lucretius, Titus Carus",106388020,631,301,"[""Titus Lucretius Carus"", ""T. Lucretius Carus"", ""Titus Carus Lucretius""]",[],"[""Titus Lucretius Carus"", ""T.Lucretius Carus"", ""Lucretius Carus Poeta""]","[""Latin""]"
Plautus,Plaute,Titus Maccius Plautus,Q47160,Plautus,66462281,617,306,"[""Titus Maccius Plautus""]","[""Plautus""]","[""T. Maccius Plautus"", ""Plautus"", ""Plautus Comicus""]","[""Latin""]"
Chariton,Chariton d'Aphrodise,Charito Aphrodisiensis,Q434567,Chariton Aphrodisiensis,27062313,11,11,"[""Chariton of Aphrodisias""]","[""Chariton d'Aphrodisias"", ""Chariton d'Aphrodisie""]","[""Chariton scriptor eroticus""]","[""Ancient Greek""]"
