,author,tags,perseus,wikipedia,trimegistos,trismegistos_id,wikidata_id,aliases
22,Origenes,"(Greek, theology, AD 185 - 253 about)",nan,https://en.wikipedia.org/wiki/Origen,https://www.trismegistos.org/author/612,612,Q170472,"['orígenes de alejandria', 'origene', 'origenes theologus', 'adamantius', 'origenes adamantius', 'origenes alexandrinus', 'origenes', 'orígenes de alejandría', 'origènes', 'origene adamantio', 'origene adamanzio', 'horigenes', 'origène', 'origene di alessandria', 'origen', ""origène d'alexandrie"", 'origenes de alejandria', 'orígenes']"
23,Hesiodos,"(Greek, poetry epic, BC 725 - 675 about)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.729,https://en.wikipedia.org/wiki/Hesiod,https://www.trismegistos.org/author/381,381,Q44233,"['hesíodo', 'hésiode', 'esiodo di ascra', 'hesiodo', 'hesiod von askra', 'hesiodus ascraeus', 'hesiode', 'esiodo', ""hésiode d'ascra"", 'hesiod', 'hesiodus', 'hesiodus epicus', 'hesiodos', 'hesiod of ascra']"
24,Xenophon,"(Greek, history, philosophy, BC 430 - 354 about)",nan,https://en.wikipedia.org/wiki/Xenophon,https://www.trismegistos.org/author/972,972,Q129772,"['xenophon', 'xenophon atheniensis', 'xenopho', 'xenofonte', 'xenophon of athens', 'jenofonte', 'xenofon', 'xenophon historicus', 'xenofón', 'senofonte', 'xénophon', 'xen.', 'jenofonte de atenas']"
25,Plinius Maior,"(Latin, encyclopedia, grammar, AD 23 - 79)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.1141,https://en.wikipedia.org/wiki/Plinius_Maior,https://www.trismegistos.org/author/697,697,Q82778,"['plinio il vecchio', 'plinio el viejo', 'plinius maior', 'pliny', 'caius p. secundus', 'plinius, d. ä.', 'c. plinius secundus', 'caio plinio secondo', 'plinius secundus der ältere', ""pline l'ancien"", 'plinius senior', 'the elder pliny', 'gayo plinio secundo', 'gaius plinius secundus', 'plinius major', 'caius plinius secundus', 'cayo plinio secundo', 'cayo plinio segundo', 'gaio plinio secondo', 'plinius der ältere', 'pliny the elder', 'gaius p. secundus', 'plinius', 'gayo plinio segundo']"
26,Hippokrates,"(Greek, medicine, BC 460 - 370 about)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.739,https://en.wikipedia.org/wiki/Hippocrates_of_Cos,https://www.trismegistos.org/author/390,390,Q5264,"['ippocrate di cos', 'hipócrates', 'ippocrate', 'hippokrates von kos', 'hipocrates', 'hippocrates of cos', 'ippocrate di coo', 'hippokrates of kos', 'hippokrates', 'hippocrates medicus', 'hippocrates', 'hippocrates ii', 'ippocrate ii', 'hippocrate', 'hippocrates cous']"
27,Propertius,"(Latin, poetry elegy, BC 58 - 16)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.1187,https://en.wikipedia.org/wiki/Propertius,https://www.trismegistos.org/author/4807,4807,Q8827,"['propercio', 'sextus aurelius propertius', 'sesto properzio', 'propertius', 'sesto aurelio properzio', 'properce', 'sextus propertius', 'properzio', 'properz']"
28,Plotinos,"(Greek, philosophy Neoplatonic, AD 205 - 270 about)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.1143,https://en.wikipedia.org/wiki/Plotinus,https://www.trismegistos.org/author/3481,3481,Q134189,"['plotino', 'plotinus lycopolitanus', 'plotino de licópolis', 'plotinos', 'plotinus philosophus', 'plotin', 'plotino de licopolis', 'plotinus']"
29,Kallimachos,"(Greek, poetry hymn, epigram, paradoxography, BC 310 - 240 about)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.307,https://en.wikipedia.org/wiki/Callimachus,https://www.trismegistos.org/author/480,480,Q192417,"['callimaco di cirene', 'kallimachos of kyrene', 'kallimachos', 'kallimachos von kyrene', 'callimachus poeta', 'kallimachus', 'callimachus cyrenaeus', 'callimachus', 'calímaco de cirene', 'callimachus cyrenensis', 'callimachus philosophus', 'calimaco de cirene', 'callimaque de cyrene', 'callimaque', 'battiades', 'calímaco', 'callimachus cyrenaicus', 'callimaque de cyrène', 'callimachus of cyrene', 'callimaco', 'calimaco']"
30,Hieronymus,"(Latin, theology, history, biography, epistolography, poetry, AD 347 - 420)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.785,https://en.wikipedia.org/wiki/Jerome,https://www.trismegistos.org/author/386,386,Q44248,"['eusebius hieronymus', 'jerónimo (santo)', 'jerome', 'jerome of stridon', 'ευσέβιος σωφρόνιος ίερώνυμος', 'hieronymus stridonius', 'hieronymus', 'eusebio sofronio jerónimo', 'san gerolamo', 'hieronymus stridonensis', 'sophronius eusebius hieronymus', 'saint heronimos', 'san jerónimo', 'st. jerome', 'girolamo di dalmazia', 'sofronius eusebius hieronymus', 'san jerónimo de estridón', 'jérôme de stridon', 'eusebius sophronius hieronymus', 'san ieronimo', 'hieronymus von stridon', 'eusebio hierónimo de estridón', 'san geronimo', 'sanctus hieronymus', 'eusebio hierónimo', 'jerome de stridon', 'sofronio eusebio girolamo', 'saint hieronymus', 'jérôme', 'eusebio sofronio girolamo', 'jerónimo de estridón', 'san girolamo', 'eusebio jerónimo de estridón', 'jérome de stridon', 'saint jérôme', 'jerónimo', 'saint jerome']"
31,Philon of Alexandria,"(Greek, philosophy Platonist middle, BC 15 - AD 50)",nan,https://en.wikipedia.org/wiki/Philo,https://www.trismegistos.org/author/675,675,Q189597,"[""filone l'ebreo"", 'philo iudaeus', 'philio of alexandria', 'philo von alexandrien', 'philo judaeus', 'filone giudeo', 'philo philosophus', 'philo', 'filione alessandrino', 'filón el judío', 'filione di alessandria', 'philon von alexandria', 'filón de alejandría', 'filone di alessandria', 'filón de alejandria', 'philo of alexandria', 'filon de alejandria', ""filione d'alessandria"", 'philon von alexandrien', 'philon d’alexandrie', 'filon de alejandría', 'philo judæus', 'philio judæus', 'philo the jew', 'filon el judio', 'philo von alexandria', 'philio alexandrinus', 'philo alexandrinus', 'philo judeaus', 'filone alessandrino', ""philon d'alexandrie"", ""filone d'alessandria""]"
